Model,Reputation,Power,Wealth,Achievement,Pleasure,Independent thoughts,Independent actions,Stimulation,Personal security,Societal security,Tradition,Lawfulness,Respect,Humility,Responsibility,Caring,Equality,Nature,Tolerance
GPT-4o-mini,2.024793388429752,1.6363636363636365,0.23140495867768596,1.2644628099173554,0.7024793388429752,1.6446280991735538,1.3553719008264462,1.7768595041322315,0.4380165289256198,2.6859504132231407,0.35537190082644626,0.7355371900826446,0.9752066115702479,0.2066115702479339,1.7520661157024793,2.1818181818181817,1.0165289256198347,0.6942148760330579,0.17355371900826447
Ministral-14b,2.3801652892561984,1.4958677685950412,0.2975206611570248,1.578512396694215,0.8347107438016529,1.3388429752066116,1.4132231404958677,2.0826446280991737,0.7851239669421488,2.12396694214876,0.9752066115702479,1.3305785123966942,1.628099173553719,0.45454545454545453,2.793388429752066,2.7768595041322315,2.0,0.7768595041322314,1.3553719008264462
Qwen3-14B,1.2479338842975207,1.2727272727272727,0.36363636363636365,2.0,0.4462809917355372,2.041322314049587,1.9669421487603307,1.4297520661157024,0.6446280991735537,2.049586776859504,0.5785123966942148,1.421487603305785,1.6611570247933884,0.5537190082644629,2.4049586776859506,2.2148760330578514,1.603305785123967,0.7933884297520661,1.0495867768595042
