Model,Reputation,Power,Wealth,Achievement,Pleasure,Independent thoughts,Independent actions,Stimulation,Personal security,Societal security,Tradition,Lawfulness,Respect,Humility,Responsibility,Caring,Equality,Nature,Tolerance
GPT-4o-mini,2.0,1.5867768595041323,0.19834710743801653,1.322314049586777,0.8264462809917356,1.8016528925619835,1.5206611570247934,1.7603305785123966,0.4380165289256198,2.760330578512397,0.36363636363636365,0.7603305785123967,1.140495867768595,0.3140495867768595,1.8760330578512396,2.256198347107438,1.0661157024793388,0.6363636363636364,0.2066115702479339
Ministral-14b,2.4,1.5416666666666667,0.3416666666666667,1.65,0.8166666666666667,1.3916666666666666,1.4666666666666666,2.05,0.8166666666666667,2.45,1.0083333333333333,1.4583333333333333,1.7,0.35833333333333334,2.8916666666666666,2.875,1.9666666666666666,0.775,1.3916666666666666
Qwen3-14B,1.1900826446280992,1.3636363636363635,0.45454545454545453,2.090909090909091,0.4214876033057851,1.9338842975206612,1.9338842975206612,1.4793388429752066,0.7107438016528925,2.1487603305785123,0.6033057851239669,1.6446280991735538,1.71900826446281,0.49586776859504134,2.4545454545454546,2.2148760330578514,1.6446280991735538,0.8512396694214877,1.115702479338843
